PolicyName,CategoryName
Security_ThreatProtection,Auditing
Security_ThreatProtection,Defender
Security_ThreatProtection,Device Guard
Security_ThreatProtection,Firewall
Security_ThreatProtection,Local Policies Security Options
Security_ThreatProtection,Local Security Authority
Security_ThreatProtection,Smart Screen
Security_ThreatProtection,Virtualization Based Technology
Security_ThreatProtection,Windows Defender Security Center
Identity_Authentication_Privilege,Windows Hello For Business
Identity_Authentication_Privilege,User Rights
Identity_Authentication_Privilege,Sudo
CoreOS_Manageability_Servicing,Windows Update For Business
CoreOS_Manageability_Servicing,System
CoreOS_Manageability_Servicing,Config Refresh
CoreOS_Manageability_Servicing,Licensing
CoreOS_Manageability_Servicing,Windows Sandbox
CoreOS_Manageability_Servicing,Administrative Templates
UserExperience_Privacy_Connectivity,Experience
UserExperience_Privacy_Connectivity,Notifications
UserExperience_Privacy_Connectivity,Privacy
UserExperience_Privacy_Connectivity,Search
UserExperience_Privacy_Connectivity,Settings
UserExperience_Privacy_Connectivity,Widgets
UserExperience_Privacy_Connectivity,Wi-Fi Settings
UserExperience_Privacy_Connectivity,Microsoft App Store
UserExperience_Privacy_Connectivity,Windows Ink Workspace
